stable_nodes_name;occurence
JAG1_M1_macrophage__Cytoplasmic_membrane_down;1
JAG1_M2_macrophage__cytoplasmic_membrane_down;1
JAG1_NOTCH1_complex;1
JAG1_NOTCH3_complex;1
JAG1_rna;1
JAK1_JAK2_complex_M1_macrophage___Cytoplasm;1
JAK1_JAK2_complex_TH1___cytoplasm;1
JAK1_JAK2_TYK2_complex;1
JAK1_JAK3_complex;1
JAK1_M1_macrophage___Cytoplasm;1
JAK1_M2_macrophage__cytoplasm;1
JAK1_TYK2_complex_M1_macrophage___Cytoplasm;1
JAK1_TYK2_complex_M2_macrophage__cytoplasm;1
JAK1_TYK2_complex_TH1___cytoplasm;1
JAK2_M1_macrophage___Cytoplasm;1
JAK2_M2_macrophage__cytoplasm;1
